last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
Ozuna, Marcell,2016,-4,45.8,-0.4,0,0.1,-0.3,33.6,72,33
Pagan, Angel,2016,-1,40.4,-0.1,-0.6,0.6,-0.1,32.8,57,23
Pederson, Joc,2016,0,55.3,-0.8,-0.5,-0.7,-2,31.9,47,26
Pence, Hunter,2016,-3,43.1,-0.6,-0.4,0.2,-0.8,32.3,51,22
Pillar, Kevin,2016,9,55.2,0.4,0.3,0.4,1,34.8,87,48
Piscotty, Stephen,2016,2,56.3,0.2,-1.1,0.9,0,33.1,64,36
Polanco, Gregory,2016,2,50.7,0.1,-0.1,0,0,32.9,75,38
Puig, Yasiel,2016,3,52.5,-0.5,-1.6,0.6,-1.6,31.3,59,31
Rasmus, Colby,2016,1,52.3,-0.2,1.4,-1,0.3,32.8,44,23
Reddick, Josh,2016,2,61.7,0,0.3,0.6,0.9,34,47,29
Revere, Ben,2016,2,56.4,-0.8,-0.9,-0.3,-2,31.2,39,22
Rickard, Joey,2016,2,56.8,0.5,2.1,0,2.5,36.3,44,25
Rosario, Eddie,2016,3,62,-0.2,0.2,0.1,0,33.6,50,31
Santana, Danny,2016,-2,48.8,0,1,-1,0,33.5,41,20
Santana, Domingo,2016,-7,17.9,-0.5,-0.1,0,-0.6,32,39,7
Saunders, Michael,2016,-3,45.1,-0.9,-0.9,-0.4,-2.3,31.1,51,23
Smith, Seth,2016,-3,40,-0.8,0.2,0.7,0.1,33.7,55,22
Smolinski, Jake,2016,0,55.8,-0.6,-0.5,0.2,-0.9,32.8,52,29
Souza Jr., Steven,2016,2,55.9,0.1,0.7,-0.5,0.3,33.6,59,33
Span, Denard,2016,-6,42,-0.6,-2.4,1,-2,31.7,88,37
Springer, George,2016,0,46,-0.4,0.4,-0.8,-0.8,32,87,40
Stanton, Giancarlo,2016,4,55.3,0.2,-1.1,0.9,0,33.4,76,42
Suzuki, Ichiro,2016,2,52.6,0.1,0.5,0.3,0.9,34.2,38,20
Taylor, Michael A.,2016,5,56.8,1.7,0.4,0.2,2.2,35.4,37,21
Tomas, Yasmany,2016,-12,29.5,-1.9,0.6,-1.2,-2.4,30.5,61,18
Trout, Mike,2016,-7,43.5,-1.3,-2.8,0.8,-3.4,30.4,85,37
Trumbo, Mark,2016,-12,19.4,-3.3,-2.9,0.8,-5.5,27.2,36,7
Upton, B.J.,2016,1,59.6,0,-0.9,0.1,-0.8,31.8,57,34
Upton, Justin,2016,-6,35.9,-0.4,-0.8,0.7,-0.5,32.6,64,23
Werth, Jayson,2016,-7,25.4,-1.3,-0.5,0.7,-1.2,32.2,63,16
Yelich, Christian,2016,4,52.7,0.1,-1.7,0.9,-0.7,32.1,91,48
