last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
Acuna Jr., Ronald,2018,4,54.2,0.4,-0.4,0.3,0.2,33.5,48,26
Allen, Greg,2018,-1,45.2,-0.9,-0.4,-0.8,-2.2,31.7,42,19
Almora Jr., Albert,2018,10,72.1,0.7,0.8,0.1,1.5,36.2,68,49
Anderson, Brian,2018,-3,42,-0.9,-0.1,0.4,-0.6,32.8,50,21
Bader, Harrison,2018,19,76.9,2.3,1.1,-0.6,2.7,36.9,78,60
Bellinger, Cody,2018,6,63.6,1.5,0.5,0,2,36.8,33,21
Benintendi, Andrew,2018,-1,47.1,-1.1,-1.4,0.8,-1.7,31.4,68,32
Betts, Mookie,2018,10,62.8,0.1,0,0.2,0.3,33.9,78,49
Blackmon, Charlie,2018,-7,34.2,-1,-1.6,0.4,-2.2,31.8,79,27
Bonifacio, Jorge,2018,-1,44.7,-1.7,-0.4,-0.6,-2.7,30.3,38,17
Bradley Jr., Jackie,2018,9,59.6,0.9,2.7,-2.3,1.4,35.8,89,53
Brantley, Michael,2018,-4,37.7,-1.5,-0.9,0.4,-2,31,53,20
Braun, Ryan,2018,-1,47.6,-1.1,1.2,-0.6,-0.6,33.5,42,20
Brinson, Lewis,2018,1,54.9,0.6,-1,0.6,0.1,34.9,71,39
Bruce, Jay,2018,-2,42.4,-2.4,1.4,-0.7,-1.6,32.4,33,14
Cain, Lorenzo,2018,18,73.5,0.7,0.7,-0.2,1.2,35.5,83,61
Calhoun, Kole,2018,1,46.7,-0.8,0.2,-0.3,-0.9,32.6,60,28
Canha, Mark,2018,0,48.8,-0.7,0.6,0.2,0.1,33.9,43,21
Castellanos, Nicholas,2018,-17,19.5,-1.6,-0.8,0,-2.4,30.2,77,15
Cave, Jake,2018,2,54.5,0.3,0.3,-0.2,0.5,34.3,44,24
Conforto, Michael,2018,6,60.3,-0.3,1.6,-1.4,-0.1,34,58,35
Dahl, David,2018,-2,51.5,0.7,-0.8,0.3,0.2,33.7,33,17
DeShields, Delino,2018,13,64.5,1.1,-1.4,0.6,0.3,34.4,93,60
Dickerson, Corey,2018,10,67.7,0.8,1.2,0.2,2.2,36.3,62,42
Dietrich, Derek,2018,-9,20,-2.4,-0.4,-0.5,-3.3,30.1,35,7
Duvall, Adam,2018,6,61.7,0.5,0.9,-0.5,0.9,35.2,47,29
Eaton, Adam,2018,-3,37.2,-1.7,0.7,-0.7,-1.7,32.1,43,16
Engel, Adam,2018,13,65.6,1.8,-0.6,0.3,1.5,35.4,93,61
Fowler, Dustin,2018,-2,30.3,0.3,-1.2,0.1,-0.7,33.5,33,10
Gallo, Joey,2018,-1,40.4,-0.8,1.2,-0.7,-0.3,33.1,47,19
Gamel, Ben,2018,-3,45.5,-0.5,-0.6,0.2,-0.8,32.8,33,15
Garcia, Avisail,2018,2,47.4,-0.7,-0.5,0.2,-1,32.8,57,27
Gardner, Brett,2018,1,54.2,0.1,0.1,0.3,0.4,34.5,72,39
Gomez, Carlos,2018,0,56.9,-0.2,0,0.3,0,33.5,51,29
Gonzalez, Carlos,2018,3,47.6,0.2,2.2,-2,0.4,33.9,63,30
Gordon, Alex,2018,2,53.2,-1,-0.9,0.6,-1.3,31.9,79,42
Gordon, Dee,2018,-1,52.8,0.5,-0.7,0.5,0.4,35.2,36,19
Granderson, Curtis,2018,-4,45.2,-0.4,0.2,0.4,0.2,33.3,42,19
Grichuk, Randal,2018,6,62.3,0.8,-1.3,0.6,0.1,33.4,61,38
Grossman, Robbie,2018,-2,34.3,-0.9,-0.3,0,-1.1,32.1,35,12
Hamilton, Billy,2018,13,61.4,1,0.7,0.1,1.7,35.6,101,62
Haniger, Mitch,2018,-6,47.2,-0.5,-0.1,0.4,-0.1,33.8,89,42
Happ, Ian,2018,-5,49,-1.3,-0.2,-0.6,-2.1,32.1,49,24
Harper, Bryce,2018,-9,31.5,-0.9,-1.1,0,-2,31.8,54,17
Heredia, Guillermo,2018,4,56.5,0.2,1.5,-0.9,0.7,34.8,62,35
Hernandez, Gorkys,2018,7,61.8,0.3,-1.1,0.5,-0.4,33.7,68,42
Hernandez, Teoscar,2018,-3,36.8,-0.3,0.9,-0.7,-0.1,33.1,57,21
Herrera, Odubel,2018,1,58.2,0.3,1.1,-0.9,0.5,35,79,46
Heyward, Jason,2018,7,64.7,0.7,0.9,-0.6,1,34.8,68,44
Hicks, Aaron,2018,-6,39.2,-1.2,-1.1,0.5,-1.9,32.4,51,20
Hoskins, Rhys,2018,-14,27.6,-3.3,1,-1.4,-3.7,29.9,58,16
Inciarte, Ender,2018,18,70.7,1.4,2.4,-0.9,2.9,37.3,92,65
Jackson, Austin,2018,-2,42,-0.3,-0.3,-0.5,-1,33.3,50,21
Jankowski, Travis,2018,6,67.6,1.8,-1,0.2,1,35,37,25
Jay, Jon,2018,0,49.2,-0.7,0.3,0.4,0,33.8,61,30
Jones, Adam,2018,-11,31.4,-3.1,-0.8,0.1,-3.7,30.1,86,27
Jones, JaCoby,2018,6,66.2,-0.5,-0.5,0,-1.1,32.9,71,47
Judge, Aaron,2018,-1,48.9,-2,-0.8,-0.1,-2.9,31.1,47,23
Kemp, Matt,2018,-6,32.4,-1.8,-1.1,0.1,-2.8,30.5,37,12
Kemp, Tony,2018,0,46.3,-0.4,0.5,0.1,0.2,33.8,41,19
Kepler, Max,2018,9,63,0.4,-0.7,0.7,0.3,33.9,81,51
Kiermaier, Kevin,2018,7,64.3,1.1,0.3,0.1,1.5,36,42,27
Laureano, Ramon,2018,1,50,0.7,1.8,-1.7,0.8,35.3,40,20
Mahtook, Mikie,2018,0,55.9,0.1,-0.1,0.3,0.3,34,34,19
Mancini, Trey,2018,-8,33.9,-2,0.4,-1.1,-2.7,30.7,56,19
Margot, Manuel,2018,12,66.2,1.5,1.5,-1,2,36.2,77,51
Marisnick, Jake,2018,11,81.6,1.7,-0.3,0.4,1.7,35.6,38,31
Markakis, Nick,2018,4,55.2,-0.6,0.4,-0.2,-0.4,32.9,87,48
Marte, Starling,2018,9,65.5,0.6,-0.4,0.4,0.7,35.2,87,57
Martin, Leonys,2018,2,51.7,0.4,2.2,-1.8,0.8,35.1,58,30
Martinez, J.D.,2018,-3,41.2,-1.6,-0.5,-0.1,-2.3,30.7,34,14
Maybin, Cameron,2018,5,66.7,-0.5,0,0.4,-0.2,33.8,51,34
Mazara, Nomar,2018,-7,34.3,-1.1,-0.4,0.2,-1.3,32,70,24
