last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
McCutchen, Andrew,2018,-7,35.8,-0.7,-1.9,1.2,-1.4,32,81,29
Nimmo, Brandon,2018,5,61.8,0.6,-0.7,0,-0.1,33.4,55,34
Ozuna, Marcell,2018,-2,40.3,-0.5,0.1,0.3,-0.1,33.8,77,31
Palka, Daniel,2018,-10,21.2,-1.5,-0.9,-0.1,-2.5,31.3,33,7
Parra, Gerardo,2018,-2,48.5,0.1,1.1,-0.5,0.7,34.1,68,33
Pederson, Joc,2018,-6,39.6,-0.6,0.1,-0.6,-1.2,32.2,48,19
Peralta, David,2018,0,50.7,-0.6,0.1,0.1,-0.4,33.4,67,34
Pham, Tommy,2018,2,53.1,0.2,-0.1,-0.4,-0.3,34.1,64,34
Pillar, Kevin,2018,1,48.4,-0.4,-0.2,0.6,0,34.3,91,44
Piscotty, Stephen,2018,-2,46.8,-0.4,-0.8,0.6,-0.6,32.9,77,36
Polanco, Gregory,2018,-1,45.7,0.2,-0.4,0.3,0.2,33.5,70,32
Pollock, A.J.,2018,5,60.7,0.2,-1.3,0.4,-0.8,33.5,61,37
Puig, Yasiel,2018,-7,30.6,-1.8,-2,1.1,-2.7,30.6,49,15
Reddick, Josh,2018,8,58.3,0.3,0.7,0.8,1.7,35.2,60,35
Renfroe, Hunter,2018,1,57.4,0,0.7,-0.5,0.2,34.5,54,31
Reyes, Victor,2018,-1,54.1,-0.8,-0.8,-0.2,-1.8,32.5,37,20
Rosario, Eddie,2018,2,44.3,0.2,0,0.5,0.7,34.3,61,27
Schebler, Scott,2018,1,47.7,0.8,-0.4,0,0.4,33.9,44,21
Schwarber, Kyle,2018,-10,30.4,-1.9,-1.2,0,-3.1,30.1,56,17
Smith, Mallex,2018,1,51.9,1,-0.6,0.7,1,34.4,77,40
Soto, Juan,2018,-7,38.1,-0.2,0.7,-0.6,0,33.9,63,24
Souza Jr., Steven,2018,1,45,-0.1,0.1,0,0.1,33.4,40,18
Span, Denard,2018,-3,38.5,0,-1.5,0.8,-0.7,33,65,25
Springer, George,2018,-1,44.8,0.1,0.5,-0.6,0,33.9,58,26
Stanton, Giancarlo,2018,3,54.1,-0.6,-0.8,0.6,-0.7,32.6,37,20
Taylor, Michael A.,2018,7,61.8,0.8,-0.2,0,0.6,34.8,68,42
Trout, Mike,2018,5,57.8,-0.6,-2.1,0.8,-1.9,32.4,64,37
Upton, Justin,2018,-7,42.7,-0.9,-1.4,0.8,-1.4,31.6,75,32
Williams, Nick,2018,-6,31.1,-1.3,-2.3,0,-3.4,29.8,45,14
Yelich, Christian,2018,2,53.9,-0.3,-1.6,0.5,-1.5,32.3,76,41
