last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
Parra, Gerardo,2017,3,54.2,0.2,1.6,-0.9,0.8,33.6,48,26
Pederson, Joc,2017,-8,25.6,-1.3,-0.6,-0.6,-2.4,31.5,39,10
Pence, Hunter,2017,-2,49.3,-0.6,-0.5,0.1,-1,32.1,69,34
Peralta, David,2017,-2,48.7,0.2,0.2,0.2,0.6,33.7,78,38
Pham, Tommy,2017,6,58.2,0.5,-0.5,0,0,33.2,67,39
Pillar, Kevin,2017,1,49.4,-0.5,-0.5,0.5,-0.5,33.4,79,39
Pirela, Jose,2017,-2,44.4,0.9,1.1,-0.5,1.5,34.2,36,16
Piscotty, Stephen,2017,0,51.3,-0.1,-1,0.7,-0.3,32.8,39,20
Polanco, Gregory,2017,2,52.8,0.8,0.1,0.1,1.1,34.6,53,28
Pollock, A.J.,2017,1,54.7,0.1,-1.9,0.7,-1.1,32.9,53,29
Puig, Yasiel,2017,-2,50,-1.2,-1.7,0.8,-2.1,31.4,74,37
Reddick, Josh,2017,5,60,0.4,0.8,0.3,1.5,34.5,60,36
Renfroe, Hunter,2017,-3,40,-0.4,0.2,-0.4,-0.6,32.7,60,24
Revere, Ben,2017,2,54.3,-0.4,1.4,-1.1,0,32.8,35,19
Rickard, Joey,2017,6,62.9,0.7,1.7,-0.4,2,35.4,35,22
Romine, Andrew,2017,-2,35.9,-0.8,0.1,0.1,-0.5,33,39,14
Rosario, Eddie,2017,-4,35.9,0,0.6,-0.1,0.5,34.2,64,23
Santana, Domingo,2017,-5,41.4,-1.2,0.4,0,-0.8,32,58,24
Schebler, Scott,2017,2,52.1,0.4,-0.4,-0.4,-0.4,32.5,73,38
Smith, Mallex,2017,1,51.4,1,-0.6,0.4,0.8,34.5,37,19
Smith, Seth,2017,-1,44.7,-0.5,0.2,0.7,0.3,34.1,47,21
Souza Jr., Steven,2017,8,58.4,1.4,0.8,0.1,2.2,35.4,77,45
Span, Denard,2017,-8,43.4,-0.7,-2.3,1,-2,32.1,83,36
Springer, George,2017,-2,44,0.1,0.5,-0.4,0.1,34.1,75,33
Stanton, Giancarlo,2017,-4,40.5,-0.3,-1.3,0.8,-0.8,32.6,74,30
Taylor, Chris,2017,1,54.5,0.4,-0.3,-0.2,0,33.5,44,24
Taylor, Michael A.,2017,8,71,2,1,-0.4,2.6,37,62,44
Trout, Mike,2017,-5,46.3,-1,-2.8,0.8,-3,31.4,54,25
Upton, Justin,2017,2,47.8,0.2,-0.7,0.9,0.5,33.1,67,32
Werth, Jayson,2017,-4,37,-1.6,-0.7,0.7,-1.6,31.9,46,17
Williams, Nick,2017,-5,28.6,-0.7,-1.1,-0.8,-2.5,30,42,12
Yelich, Christian,2017,-2,47.8,0.1,-1.8,0.7,-1.1,33.1,92,44
Zimmer, Bradley,2017,2,60.5,0.8,-0.2,-0.1,0.5,33.9,38,23
