last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
Almora Jr., Albert,2017,-2,45,0.1,0.6,-0.5,0.2,34.3,40,18
Altherr, Aaron,2017,0,48.1,0,-0.4,0.1,-0.4,32.6,52,25
Aoki, Norichika,2017,-1,35.7,-0.1,0.9,-0.5,0.3,32.6,42,15
Bautista, Jose,2017,-6,35.5,-1.7,-0.2,0.8,-1.1,31.7,76,27
Benintendi, Andrew,2017,-7,29.7,-0.8,-1.4,0.8,-1.5,30.7,64,19
Betts, Mookie,2017,19,68.8,1,1.1,0.1,2.1,35.5,112,77
Blackmon, Charlie,2017,-5,46.7,0.2,-1.1,0.4,-0.6,33.6,107,50
Bonifacio, Jorge,2017,-4,41.7,-0.2,-0.6,-0.1,-0.9,32.2,48,20
Bradley Jr., Jackie,2017,11,65.1,0.7,3.1,-2,1.8,36,83,54
Brantley, Michael,2017,1,50,-0.9,-0.6,0.5,-1.1,32.1,48,24
Braun, Ryan,2017,-2,38.6,-1,1.1,-1,-0.9,32.9,44,17
Broxton, Keon,2017,9,61.1,0.9,0.8,-0.6,1.1,34.9,72,44
Bruce, Jay,2017,3,60.6,0,1.2,-0.7,0.5,33.9,66,40
Buxton, Byron,2017,25,79.4,2,-0.4,0.4,2,36,97,77
Cabrera, Melky,2017,-15,24.1,-2.3,-1.5,0.7,-3.1,29.9,87,21
Cain, Lorenzo,2017,16,68.4,0.9,0,-0.1,0.8,34.7,114,78
Calhoun, Kole,2017,-7,39.5,-0.9,-0.1,0.4,-0.6,32.8,76,30
Carrera, Ezequiel,2017,-6,33.3,-0.2,-0.6,0.6,-0.1,32.8,36,12
Cespedes, Yoenis,2017,-3,38.5,-0.5,-1.4,0.5,-1.3,32.3,39,15
Choo, Shin-Soo,2017,-7,31,-1.2,-0.1,-0.2,-1.5,31.4,42,13
Conforto, Michael,2017,-1,52.6,-1.1,0.6,-1.4,-1.9,31.7,57,30
Davis, Khris,2017,5,61.2,-0.9,1.1,0.3,0.5,33.6,49,30
DeShields, Delino,2017,3,59.3,1.5,-0.9,0.2,0.8,34.8,54,32
Desmond, Ian,2017,-2,50,0.6,-1.3,0.8,0.1,33.1,38,19
Dickerson, Corey,2017,3,52.3,1.5,1.7,-0.2,3,35.7,44,23
Duvall, Adam,2017,9,63,0.3,1.7,-1.1,0.9,34.3,81,51
Dyson, Jarrod,2017,7,62.7,1.7,0.6,-0.6,1.7,35.8,51,32
Ellsbury, Jacoby,2017,-1,47.5,-0.1,-1,0.4,-0.8,33.1,40,19
Engel, Adam,2017,17,73.9,1.8,-1,0.7,1.5,35.1,69,51
Fowler, Dexter,2017,-9,33.3,-2,-1.8,-0.2,-4,30,57,19
Gamel, Ben,2017,-2,45.8,-0.6,-0.3,0.1,-0.8,31.8,59,27
Garcia, Avisail,2017,3,58.7,-0.9,-0.7,0.5,-0.6,32.8,63,37
Garcia, Leury,2017,1,52.8,0.8,-0.3,0.5,1,34.4,36,19
Gardner, Brett,2017,6,60.6,0.5,0.2,0.4,1.1,35,66,40
Gomez, Carlos,2017,2,53.4,-0.4,-0.8,0.3,-0.9,33.4,58,31
Gonzalez, Carlos,2017,2,50.8,-0.4,2.3,-2.4,-0.5,33.3,59,30
Gonzalez, Marwin,2017,0,48.6,-0.4,2.2,-2,-0.3,31.9,35,17
Gordon, Alex,2017,3,58.3,-0.8,-1,0.9,-1,32.1,60,35
Granderson, Curtis,2017,-3,46.6,-1.1,-0.6,0.5,-1.2,32.4,58,27
Grichuk, Randal,2017,5,54.9,1.5,-1.3,0.4,0.6,33.2,51,28
Hamilton, Billy,2017,12,69.2,1,0.3,-0.2,1.1,34.8,78,54
Haniger, Mitch,2017,-1,51.9,0.1,0.3,0.2,0.6,34.1,54,28
Harper, Bryce,2017,-7,38.1,-1.6,-1.1,-0.7,-3.4,28.6,42,16
Heredia, Guillermo,2017,7,56.1,0.5,0.8,-0.9,0.4,33.6,66,37
Hernandez, Gorkys,2017,5,53.3,1,-1,0.6,0.6,34.7,60,32
Herrera, Odubel,2017,10,66.2,0.8,1.6,-1.2,1.2,35.2,74,49
Heyward, Jason,2017,8,59.6,1.1,1.1,-0.1,2.1,35.3,57,34
Hicks, Aaron,2017,0,55.8,-0.1,-0.8,-0.3,-1.2,32.6,43,24
Inciarte, Ender,2017,20,69.2,0.9,1.8,-1.2,1.6,35.8,117,81
Jackson, Austin,2017,-2,37.1,0.1,0.7,-1,-0.3,33.3,35,13
Jay, Jon,2017,-5,32.5,-0.6,-0.2,0.2,-0.7,32.8,40,13
Jones, Adam,2017,-9,33.8,-2,-0.2,-0.2,-2.4,31.6,77,26
Jones, JaCoby,2017,3,64.7,0,-0.1,-0.1,-0.2,34.3,34,22
Joyce, Matt,2017,-3,44.3,-0.2,0.5,0,0.4,33.8,61,27
Judge, Aaron,2017,8,58,0.3,-0.6,0.4,0.1,33.2,69,40
Kemp, Matt,2017,-15,21.6,-3.4,-1.9,0.5,-4.9,28.5,51,11
Kepler, Max,2017,6,57.6,0.1,-0.9,0.7,-0.1,33,85,49
Kiermaier, Kevin,2017,11,76,1.9,1,0,2.9,37.3,50,38
Kim, Hyun Soo,2017,-3,23.5,-0.9,-0.9,0.6,-1.2,30.9,34,8
Lagares, Juan,2017,4,69.2,1.4,0.6,-0.4,1.6,35.1,39,27
Mahtook, Mikie,2017,0,48.1,-0.3,-0.2,0.4,0.1,34.2,52,25
Mancini, Trey,2017,-6,30.8,-2,-1.4,0.4,-3.1,29.7,39,12
Margot, Manuel,2017,9,63,1.3,1.9,-1.2,2,35.8,73,46
Markakis, Nick,2017,-6,39.8,-1.4,-0.6,-0.1,-2.1,30.3,83,33
Marte, Starling,2017,1,53.8,0.8,-0.2,0.5,1.1,34.8,39,21
Martinez, J.D.,2017,-7,35.1,-1.7,-1,0.4,-2.3,31,57,20
Maybin, Cameron,2017,3,55.3,0.1,0.3,0.4,0.7,34.6,76,42
Mazara, Nomar,2017,-3,35.3,0.1,0.2,0.1,0.3,32.7,68,24
McCutchen, Andrew,2017,-2,50,-0.4,-2.2,1,-1.6,32.5,90,45
Ozuna, Marcell,2017,1,52.9,-0.4,0.5,0,0.2,33.2,85,45
